name,category,safe_serving,safe_serving_unit,safe_serving_type,safe_serving_note,safe_traffic_light,safe_fructans,safe_gos,safe_lactose,safe_fructose,safe_polyols,safe_mannitol,safe_sorbitol,safe_histamine_level,safe_histamine_liberator,safe_dao_blocker,moderate_serving,moderate_serving_unit,moderate_serving_type,moderate_serving_note,moderate_traffic_light,moderate_fructans,moderate_gos,moderate_lactose,moderate_fructose,moderate_polyols,moderate_mannitol,moderate_sorbitol,moderate_histamine_level,moderate_histamine_liberator,moderate_dao_blocker,high_serving,high_serving_unit,high_serving_type,high_serving_note,high_traffic_light,high_fructans,high_gos,high_lactose,high_fructose,high_polyols,high_mannitol,high_sorbitol,high_histamine_level,high_histamine_liberator,high_dao_blocker,preparation_notes,common_allergens
"Almond Milk, chocolate, So Good",Beverages,250,ml,1 serve,1 cup,Green,Green,Green,Green,Green,Green,Green,Green,Low,No,No,250,ml,1 serve,1 cup,Amber,Green,Green,Green,Green,Green,Green,Green,Low,No,No,250,ml,1 serve,1 cup,Red,Green,Green,Green,Green,Green,Green,Green,Low,No,No,This product has no lactose or galactose carbohydrates.,
"Milk, soy",Beverages,250,ml,1 serve,1 cup,Green,Green,Green,Green,Green,Green,Green,Green,Low,No,No,375,ml,moderate serve,1.5 cups,Amber,Amber,Amber,Green,Amber,Green,Green,Green,Medium,No,No,500,ml,high serve,2 cups,Red,Red,Red,Green,Red,Green,Green,Green,High,No,No,"**Glycaemic Index (GI) value = 37
# Isoflavone aglycones",
"Oat Milk, chocolate (So Good)",Beverages,1/2 cup,g,,,Green,Green,Green,Green,Green,Green,Green,Green,Low,No,No,,,,,Amber,Amber,Amber,Amber,Amber,Amber,Amber,Amber,Medium,No,No,,,,,Red,Red,Red,Red,Red,Red,Red,Red,High,Yes,Yes,"After ½ cup (140g), oat milk is no longer low FODMAP due to its fructan and galactooligosaccharide (GOS) content. 

Both fructans and GOS are oligosaccharides (the ‘O’ in FODMAP) and can be poorly absorbed in the small intestine and lead to gastrointestinal symptoms in sensitive individuals.

The tolerance to FODMAPs varies among individuals, and some people might be able to handle different amounts.

Oat milk is a plant-based, dairy-free milk alternative made from oats. It has gained popularity as a vegan or lactose-free substitute for cow’s milk.

Oat milk is made by soaking and blending oats with water, then straining the mixture to extract the liquid, leaving behind the oat pulp. 

It has a naturally sweet flavor with a creamy texture, making it a popular choice for coffee, cereals, baking, and general use in recipes.",
Cheddar Cheese (aged),Dairy,10,g,,,Green,Green,Green,Green,Green,Green,Green,Green,Very High,No,1,20,g,,,Amber,Amber,Amber,Amber,Amber,Amber,Amber,Amber,Medium,No,No,50,g,high serve,,Red,Red,Red,Red,Red,Red,Red,Red,High,Yes,Yes,"Aged cheeses extremely high in histamine. Fresh cheeses (cream cheese, ricotta) better.",Dairy
Cows Milk,Dairy,125,g,1 serve,,Green,Green,Green,Red,Green,Green,Green,Green,High,No,No,250,g,moderate serve,1/2 cup,Amber,Amber,Amber,Amber,Amber,Amber,Amber,Amber,Medium,No,No,250,g,high serve,,Red,Red,Red,Red,Red,Red,Red,Red,High,Yes,Yes,"High lactose. Use lactose-free milk or alternatives (almond, oat).
Avoid if lactose intolerant
High serving Not recommended","Dairy, Lactose"
Lactose-Free Milk,Dairy,1 cup,g,,,Green,Green,Green,Green,Green,Green,Green,Green,Moderate,No,No,2 cups,g,,,Amber,Amber,Amber,Amber,Amber,Amber,Amber,Amber,Medium,No,No,3+ cups,g,,,Red,Red,Red,Red,Red,Red,Red,Red,High,Yes,Yes,Lactose removed. Still contains dairy proteins. Use fresh.,Dairy (not lactose)
"Olive Oil, extra virgin, cold pressed, Red Island",Fats/Oils,18,g,1 serve,1 tablespoon (20ml),Green,Green,Green,Green,Green,Green,Green,Green,Low,No,No,37,g,1 serve,1 tablespoon,Amber,Green,Green,Green,Green,Green,Green,Green,Low,No,No,90,g,high serve,5-6 tablespoons,Red,Green,Green,Green,Green,Green,Green,Green,Low,No,No,"Olive oil is a low FODMAP food because it is a pure fat and contains no carbohydrates. Fats do not contain FODMAPs; however, they can still affect gut motility and trigger IBS symptoms in some people when consumed in large quantities. 

Serving Size: Monash University recommends a serving size of 1 tablespoon (18g) per meal. It is recommended to stick to this portion size to avoid potential gut symptoms caused by the high fat content, not FODMAPs. ",
"Olive Oil, garlic infused",Fats/Oils,1 tsp,,,,Green,,,,,,,,,,,,,,,Amber,,,,,,,,,,,,,,,Red,,,,,,,,,,,,
Quinoa (cooked),Grains,1 cup (155g),g,,,Green,Green,Green,Green,Green,Green,Green,Green,Low,No,No,1.5 cups,g,,,Amber,Amber,Amber,Amber,Amber,Amber,Amber,Amber,Medium,No,No,2+ cups,g,,,Red,Red,Red,Red,Red,Red,Red,Red,High,Yes,Yes,Excellent gluten-free grain alternative. Rinse well before cooking.,
"Sorghum, uncooked",Grains,100,g,1 serve,2/3 cup,Green,Green,Green,Green,Green,Green,Green,Green,Low,No,No,150,g,moderate serve,1 cup,Amber,Amber,Amber,Green,Amber,Green,Green,Green,Low,No,No,300,g,high serve,2 cups,Red,Red,Red,Green,Red,Green,Green,Green,Low,No,No,"Sorghum is often referred to as a ""super grain"" because of its dense nutrient profile.
Up to 100g (approx. 2/3 cup) of sorghum flour or grains is considered low FODMAP.
It's not a known histamine liberator. It does not trigger the body to release its own stored histamine.
There is no scientific evidence that sorghum acts as a DAO blocker (substances that inhibit the Diamine Oxidase enzyme responsible for breaking down histamine).

Sorghum is a low-histamine grain. It does not naturally contain high levels of histamine or other biogenic amines.",
